month	day	hour	minute	Doy (LT)	82Fac	OOA1	OOA2	91Fac
6	26	19	20	178.8055555556	0.162861	0.586671	0.0886693	0.0943211
6	26	19	30	178.8125	0.192333	0.596109	0.0199547	0.0817871
6	26	19	40	178.8194444444	0.188375	0.603556	0.052519	0.0898784
6	26	19	50	178.8263888889	0.168132	0.718434	0.06993	0.116294
6	26	20	0	178.8333333333	0.226582	0.687146	0.0781425	0.172543
6	26	20	10	178.8402777778	0.251772	0.778894	0.0745889	0.191719
6	26	20	20	178.8472222222	0.237329	0.788184	0.0522267	0.213576
6	26	20	30	178.8541666667	0.304248	0.71464	0.0822433	0.186365
6	26	20	40	178.8611111111	0.269972	0.877085	0.0390481	0.251162
6	26	20	50	178.8680555556	0.262572	0.729196	0.106546	0.276311
6	26	21	0	178.875	0.263434	0.744581	0.0389001	0.206994
6	26	21	10	178.8819444444	0.234591	0.701539	0.081987	0.215261
6	26	21	20	178.8888888889	0.253941	0.734757	0.0946378	0.30275
6	26	21	30	178.8958333333	0.209452	0.701829	0.108565	0.227615
6	26	21	40	178.9027777778	0.26718	0.863175	0.0592239	0.294618
6	26	21	50	178.9097222222	0.198594	0.771719	0.101213	0.232368
6	26	22	0	178.9166666667	0.201416	0.767532	0.0888246	0.244806
6	26	22	10	178.9236111111	0.212306	0.634992	0.0670482	0.231906
6	26	22	20	178.9305555556	0.0839418	0.770922	3.97E-06	0.0756176
6	26	22	30	178.9375	0.203634	0.615794	0.038843	0.0766477
6	26	22	40	178.9444444444	0.0939017	0.683545	0.0273932	0.142262
6	26	22	50	178.9513888889	0.122871	0.821906	0.0456142	0.221291
6	26	23	0	178.9583333333	0.176381	0.820012	0.112265	0.205012
6	26	23	10	178.9652777778	0.135173	0.941505	0.078368	0.287189
6	26	23	20	178.9722222222	0.0772723	0.846935	0.0443284	0.0814878
6	26	23	30	178.9791666667	0.100031	0.726861	0.073473	0.104608
6	26	23	40	178.9861111111	0.0644676	0.833302	5.77E-08	0.133935
6	26	23	50	178.9930555556	0.144706	0.815469	0.0135539	0.172575
6	27	0	0	179	0.0300795	0.905991	6.78E-08	0.165563
6	27	0	10	179.0069444444	5.62E-07	0.86578	0.0513419	0.165089
6	27	0	20	179.0138888889	0.0652931	0.841904	0.0537185	0.204097
6	27	0	30	179.0208333333	0.0256554	0.90672	1.16E-07	0.111395
6	27	0	40	179.0277777778	0.182318	0.676263	0.0988989	0.178321
6	27	0	50	179.0347222222	0.0865565	0.841624	0.0123939	0.13203
6	27	1	0	179.0416666667	0.156322	0.776731	0.0863493	0.149049
6	27	1	10	179.0486111111	0.290795	1.08932	0.0835483	0.520503
6	27	1	20	179.0555555556	0.257462	1.08963	0.11657	0.469358
6	27	1	30	179.0625	0.221796	0.970016	0.178607	0.383149
6	27	1	40	179.0694444444	0.21796	1.08637	0.143207	0.448721
6	27	1	50	179.0763888889	0.180658	1.14496	0.122872	0.401508
6	27	2	0	179.0833333333	0.228836	1.07975	0.146185	0.386814
6	27	2	10	179.0902777778	0.190962	1.11499	0.142967	0.471312
6	27	2	20	179.0972222222	0.215116	1.02797	0.157344	0.421687
6	27	2	30	179.1041666667	0.217266	0.961947	0.0900315	0.389656
6	27	2	40	179.1111111111	0.179958	1.08315	0.0806921	0.480709
6	27	2	50	179.1180555556	0.202205	1.01436	0.0868232	0.381842
6	27	3	0	179.125	0.194622	0.9717	0.0959204	0.41612
6	27	3	10	179.1319444444	0.219552	1.05762	0.070812	0.363046
6	27	3	20	179.1388888889	0.19276	0.995718	0.114721	0.383482
6	27	3	30	179.1458333333	0.141323	1.03467	0.129252	0.338552
6	27	3	40	179.1527777778	0.157166	1.09973	0.0361062	0.375241
6	27	3	50	179.1597222222	0.146985	1.04413	0.0997052	0.339179
6	27	4	0	179.1666666667	0.178195	1.06599	0.0893945	0.467089
6	27	4	10	179.1736111111	0.198761	1.03725	0.067302	0.348463
6	27	4	20	179.1805555556	0.123803	1.1109	0.145688	0.49565
6	27	4	30	179.1875	0.180246	1.08836	0.126555	0.393154
6	27	4	40	179.1944444444	0.181028	1.0881	0.180182	0.475053
6	27	4	50	179.2013888889	0.179972	1.00872	0.160973	0.387844
6	27	5	0	179.2083333333	0.128555	1.10591	0.154543	0.449368
6	27	5	10	179.2152777778	0.17198	0.987419	0.13874	0.445124
6	27	5	20	179.2222222222	0.121654	1.07849	0.161509	0.439879
6	27	5	30	179.2291666667	0.110261	1.16775	0.0995611	0.483197
6	27	5	40	179.2361111111	0.173383	1.05808	0.118609	0.44127
6	27	5	50	179.2430555556	0.10217	1.05019	0.13237	0.501917
6	27	6	0	179.25	0.152067	1.02702	0.117673	0.45118
6	27	6	10	179.2569444444	0.0777663	1.06397	0.112016	0.481986
6	27	6	20	179.2638888889	0.100978	1.11479	0.104299	0.501977
6	27	6	30	179.2708333333	0.0978294	0.998168	0.108109	0.400328
6	27	6	40	179.2777777778	0.178436	1.05333	0.111614	0.601475
6	27	6	50	179.2847222222	0.148697	1.1461	0.0722218	0.476818
6	27	7	0	179.2916666667	0.133654	1.07125	0.10587	0.444333
6	27	7	10	179.2986111111	0.123514	1.29568	0.116947	0.477502
6	27	7	20	179.3055555556	0.138754	1.1401	0.112448	0.466868
