HRNO3_Amb_CU	HROrg_Amb_CU	t_series_Local_Start
		3456021842
		3456021877
		3456021969
		3456022082
0.004	0.5610000000000001	3456022117
		3456022209
		3456022322
		3456022356
		3456022448
		3456022562
0.01	0.438	3456022597
		3456022689
		3456022802
		3456022837
		3456022929
		3456023042
0	0.526	3456023076
		3456023170
		3456023282
		3456023317
		3456023408
		3456023521
0.006	0.503	3456023556
		3456023648
		3456023762
		3456023797
		3456023890
		3456024002
0.01	0.515	3456024036
		3456024128
		3456024242
		3456024277
		3456024369
		3456024481
0.005	0.49	3456024517
		3456024609
		3456024722
		3456024757
		3456024849
		3456024962
0.006	0.545	3456024996
		3456025088
		3456025202
		3456025237
		3456025329
		3456025442
0.01	0.5	3456025477
		3456025569
		3456025681
		3456025717
		3456025809
		3456025922
0.003	0.521	3456025957
		3456026050
		3456026162
		3456026197
		3456026289
		3456026402
0.008	0.468	3456026437
		3456026530
		3456026642
		3456026677
		3456026769
		3456026882
0.013	0.505	3456026917
		3456027009
		3456027122
		3456027157
		3456027249
		3456027362
0.008999999999999999	0.446	3456027396
		3456027489
		3456027602
		3456027636
		3456027728
		3456027842
-0.002	0.451	3456027877
		3456027969
		3456028082
		3456028117
		3456028209
		3456028322
0.012	0.597	3456028357
		3456028450
		3456028562
		3456028597
		3456028689
		3456028802
0.011	0.59	3456028836
		3456028928
		3456029042
		3456029077
		3456029169
		3456029282
0.018	0.59	3456029317
		3456029408
		3456029522
		3456029556
		3456029649
		3456029762
0.016	0.593	3456029796
		3456029889
		3456030002
		3456030037
		3456030129
		3456030242
0.003	0.67	3456030277
		3456030370
		3456030482
		3456030516
		3456030608
		3456030722
0.005	0.431	3456030758
		3456030850
		3456030962
		3456030996
		3456031089
		3456031202
0.005	0.548	3456031238
		3456031330
		3456031442
		3456031478
		3456031570
		3456031681
0.011	0.498	3456031717
		3456031809
		3456031923
		3456031957
		3456032049
		3456032162
0.007	0.533	3456032197
		3456032289
		3456032402
		3456032437
		3456032528
		3456032642
0.011	0.546	3456032677
		3456032769
		3456032882
		3456032917
		3456033009
		3456033122
0.017	0.5590000000000001	3456033157
		3456033249
		3456033361
		3456033397
		3456033489
		3456033602
0.013	0.5600000000000001	3456033637
		3456033729
		3456033842
		3456033877
		3456033969
		3456034082
0.005	0.704	3456034116
		3456034209
		3456034322
		3456034358
		3456034449
		3456034562
0.017	0.551	3456034596
		3456034688
		3456034802
		3456034837
		3456034929
		3456035042
0.014	0.553	3456035077
		3456035169
		3456035282
		3456035317
		3456035409
		3456035521
0.016	0.53	3456035557
		3456035649
		3456035762
		3456035797
		3456035890
		3456036002
0.008999999999999999	0.574	3456036037
		3456036129
		3456036242
		3456036277
		3456036369
		3456036482
0.02	0.594	3456036516
		3456036608
		3456036722
		3456036757
		3456036849
		3456036961
